subcellular_location,count
"Cytoplasm, Stress granule",16
"Cytoplasm:Cell projection, cilium",16
Nucleus:Cell membrane,16
Mitochondrion inner membrane:Mitochondrion inner membrane,16
Endoplasmic reticulum membrane:Endoplasmic reticulum-Golgi intermediate compartment membrane:Golgi apparatus membrane,16
"Plastid, chloroplast:Cytoplasm",16
"Cytoplasmic vesicle, clathrin-coated vesicle membrane:Golgi apparatus membrane:Prevacuolar compartment membrane",16
Cytoplasm:Endoplasmic reticulum membrane,16
"Membrane:Plastid, chloroplast inner membrane:Plastid, chloroplast membrane",16
"Cytoplasmic vesicle, secretory vesicle",16
"Plastid, chloroplast:Plastid",16
"Endoplasmic reticulum membrane:Golgi apparatus, Golgi stack membrane",16
Microsome membrane,16
"Cytoplasm:Cytoplasm, perinuclear region:Nucleus",16
Membrane:Nucleus inner membrane,16
Endosome membrane:Vacuole membrane,15
Cell membrane:Cell surface,15
Mitochondrion inner membrane:Mitochondrion,15
"Cell membrane:Membrane, caveola",15
Cytoplasm:Membrane:Mitochondrion inner membrane:Mitochondrion matrix,15
"Cell membrane:Cell junction, plasmodesma",15
"Endoplasmic reticulum membrane:Golgi apparatus, cis-Golgi network membrane",15
Membrane:Mitochondrion inner membrane:Nucleus,15
"Golgi apparatus:Cytoplasmic vesicle, clathrin-coated vesicle membrane",15
Membrane:Microsome membrane,15
"Cytoplasm, cytoskeleton:Cell projection:Nucleus",15
Cell membrane:Lysosome membrane,15
"Cytoplasm:Nucleus:Chromosome, telomere",15
"Cytoplasm, cytoskeleton, spindle pole",14
Cell membrane:Golgi apparatus,14
Cytoplasm:Secreted:Cell surface,14
Late endosome membrane:Lysosome membrane:Membrane,14
"Cytoplasm:Nucleus, nucleolus:Nucleus, nucleoplasm",14
Cytoplasm:Melanosome,14
"Cell membrane:Cytoplasmic vesicle, secretory vesicle membrane",14
Endoplasmic reticulum membrane:Sarcoplasmic reticulum membrane,14
Early endosome:Endosome,14
Secreted:Synapse,14
Golgi apparatus:Cytoplasmic vesicle membrane,14
"Cell projection, podosome:Cytoplasm",14
"Cytoplasm:Nucleus, PML body",14
Mitochondrion outer membrane:Cytoplasm,14
Mitochondrion:Cytoplasm:Nucleus,14
Endosome membrane:Late endosome membrane,14
Nucleus:Nucleus,14
