uniprot_description,count
Plant invertase/pectin methylesterase inhibitor superfamily protein,51
Leucyl-tRNA synthetase,51
"Mucin TcMUCI, putative",51
DUF148 domain-containing protein,50
Triosephosphate isomerase,50
WD domain-containing protein,50
Elongation factor 1-alpha,50
Anoctamin,50
Amino acid transporter,50
Defective in cullin neddylation protein,50
"Erythrocyte membrane protein 1, PfEMP1",50
Derlin,50
Putative outer membrane protein,50
SGNH_hydro domain-containing protein,50
SAM_MT_RSMB_NOP domain-containing protein,50
Late embryogenesis abundant (LEA) hydroxyproline-rich glycoprotein family,50
Calcium uniporter protein,50
MPN domain-containing protein,50
AIG1-type G domain-containing protein,50
Ribosomal protein,49
C2 NT-type domain-containing protein,49
CUB_2 domain-containing protein,49
SEC7 domain-containing protein,49
"ATP-dependent DEAD/H RNA helicase, putative",49
FAD binding domain protein,49
Dolichyl-diphosphooligosaccharide--protein glycotransferase,49
TransThyretin-Related family domain,49
Pectin acetylesterase,49
Histidine--tRNA ligase,49
Acyltransferase,49
SH2 domain-containing protein,49
Putative AP2/EREBP transcription factor superfamily protein,49
60S ribosomal protein L21,49
tRNA (guanine-N(7)-)-methyltransferase,49
SAUR-like auxin-responsive protein family,49
Beta-hexosaminidase,49
Ribonucleoside-diphosphate reductase,49
ZF-HD dimerization-type domain-containing protein,48
Prolyl-tRNA synthetase,48
Glucosamine 6-phosphate N-acetyltransferase,48
COX assembly mitochondrial protein,48
LITAF domain-containing protein,48
HECT domain-containing protein,48
M20_dimer domain-containing protein,48
MATH domain-containing protein,48
UBA domain-containing protein,48
HNHc domain-containing protein,48
HXXXD-type acyl-transferase family protein,48
DNA binding protein,48
Peptide deformylase,48
Aminoacyl-tRNA hydrolase,48
Glutaminase,48
Glycine cleavage system H protein,48
Gifsy-1 prophage protein,48
Adenylosuccinate lyase,48
Nicotinate phosphoribosyltransferase,48
UDP-glucose 6-dehydrogenase,48
"Calpain-like cysteine peptidase, putative",48
Cysteine protease,48
CHK domain-containing protein,47
40S ribosomal protein S26,47
PPPDE domain-containing protein,47
Glyco_trans_2-like domain-containing protein,47
Small monomeric GTPase,47
Alkaline phosphatase,47
ADF-H domain-containing protein,47
Glycerophosphodiester phosphodiesterase,47
Isochorismatase domain-containing protein,47
Cytokinin riboside 5'-monophosphate phosphoribohydrolase,47
HIT-type domain-containing protein,47
Pre-mRNA-splicing factor 38,47
Mitochondrial import inner membrane translocase subunit,47
"Chaperone protein DNAJ, putative",47
Ribulose-phosphate 3-epimerase,47
DNA-binding protein,47
Calmodulin,47
CS domain-containing protein,46
DNA-directed DNA polymerase,46
NAD(P)H dehydrogenase (quinone),46
Trehalose 6-phosphate phosphatase,46
Adenylosuccinate synthetase,46
ABC transporter,46
ABC transmembrane type-1 domain-containing protein,46
D-aminoacyl-tRNA deacylase,46
Glucose-6-phosphate 1-epimerase,46
BRCT domain-containing protein,46
Putative transposase,46
"Alpha-1,4 glucan phosphorylase",46
DUF4005 domain-containing protein,46
MMPL family protein,46
PfkB domain-containing protein,46
Seryl-tRNA synthetase,46
Beta-amylase,46
Takusan domain-containing protein,46
OTU domain-containing protein,46
FTH domain-containing protein,45
60S ribosomal protein L7a,45
40S ribosomal protein S7,45
Valyl-tRNA synthetase,45
FERM domain-containing protein,45
40S ribosomal protein S8,45
"Isocitrate dehydrogenase [NAD] subunit, mitochondrial",45
"Transposase, Mutator family protein",45
40S ribosomal protein S12,45
Luciferase-like monooxygenase family protein,45
Glycerol-3-phosphate dehydrogenase,45
Amidase domain-containing protein,45
Claudin,45
Glutamate dehydrogenase,45
Eukaryotic translation initiation factor 3 subunit E,45
PWWP domain-containing protein,45
NADH-cytochrome b5 reductase,45
H(+)-exporting diphosphatase,45
Pentatricopeptide repeat-containing protein chloroplastic,45
GTP cyclohydrolase 1,45
Glycine-rich protein,45
Inosine-5'-monophosphate dehydrogenase,45
Ribonucloprotein,45
Methyltransf_21 domain-containing protein,45
Cyclin-dependent kinases regulatory subunit,45
Amidohydro-rel domain-containing protein,45
Beta-glucosidase,44
Non-specific lipid-transfer protein,44
Cytochrome P450 family protein,44
Sm domain-containing protein,44
GH16 domain-containing protein,44
Dihydrolipoyl dehydrogenase,44
TauD domain-containing protein,44
Putative WRKY DNA-binding domain superfamily protein,44
GRAM domain-containing protein,44
TOG domain-containing protein,44
Adenosylhomocysteinase,44
S-adenosylmethionine decarboxylase proenzyme,44
Superoxide dismutase [Cu-Zn],44
ATP synthase subunit beta,44
Amidophosphoribosyltransferase,44
Cytidine deaminase,44
Serine/threonine-protein kinase,44
Probable permease of ABC transporter,44
Phospholipid scramblase,44
DUF295 domain-containing protein,44
TCP domain-containing protein,44
Uridine kinase,44
Purine nucleoside phosphorylase,43
L-lactate dehydrogenase,43
Myosin motor domain-containing protein,43
Fels-2 prophage protein,43
Methionine--tRNA ligase,43
HIT domain-containing protein,43
Lipoprotein,43
Ribosomal protein L15,43
NADH-ubiquinone oxidoreductase,43
UDP-glucuronate decarboxylase,43
Glycerol-3-phosphate dehydrogenase [NAD(+)],43
Protein YIP,43
Arginyl-tRNA synthetase,43
Ribonuclease,43
DUF1996 domain-containing protein,43
Protein YIPF,43
Adenosine kinase,43
RF_PROK_I domain-containing protein,42
tRNA pseudouridine synthase,42
DAGKc domain-containing protein,42
DNAJ heat shock N-terminal domain-containing protein,42
Catalase,42
"Uncharacterized protein, isoform E",42
X8 domain-containing protein,42
DNA primase,42
Aminotransferase,42
SERPIN domain-containing protein,42
Spindle pole body component,42
Apple domain-containing protein,42
F-box C protein,42
Fibronectin type-III domain-containing protein,42
F-box protein,42
Putative HLH DNA-binding domain superfamily protein,42
tRNA-uridine aminocarboxypropyltransferase,42
60S ribosomal protein L36,42
Autophagy-related protein,42
Methyltransferase-like protein,42
Oxidored_FMN domain-containing protein,42
Late embryogenesis abundant protein,42
MarR family transcriptional regulator,42
Cysteine desulfurase,42
FRIGIDA-like protein,42
Glutathione synthetase,42
RNA-dependent RNA polymerase,41
HORMA domain-containing protein,41
Molybdopterin molybdenumtransferase,41
40S ribosomal protein S24,41
RHOMBOID-like protein,41
Profilin,41
Elongation factor Tu,41
Proline dehydrogenase,41
GRIP domain-containing protein,41
SBP-type domain-containing protein,41
Transcription elongation factor 1 homolog,41
Lactoylglutathione lyase,41
Inositol-1-monophosphatase,41
Transketolase,41
Fatty acid hydroxylase domain-containing protein,41
TF-B3 domain-containing protein,41
Fumarate hydratase,41
rRNA N-glycosidase,41
S-adenosyl-L-methionine-dependent methyltransferases superfamily protein,41
Putative replication protein,41
SAC domain-containing protein,40
3'-5' exonuclease domain-containing protein,40
Clr5 domain-containing protein,40
Prion-like-(Q/N-rich)-domain-bearing protein,40
Dolichyl-phosphate-mannose--protein mannosyltransferase,40
Ribonuclease P,40
Glutamate--cysteine ligase,40
PPR_long domain-containing protein,40
Acetolactate synthase,40
Beta-lactamase,40
Ribose-phosphate diphosphokinase,40
HECT-type E3 ubiquitin transferase,40
3-isopropylmalate dehydrogenase,40
Glutamate decarboxylase,40
Deoxyuridine 5'-triphosphate nucleotidohydrolase,40
TLDc domain-containing protein,40
"Leucine Rich Repeat family protein, expressed",40
Aspartate carbamoyltransferase,40
Eukaryotic translation initiation factor 4C,40
Secretory carrier-associated membrane protein,40
Protein RER1,40
60S ribosomal protein L13,40
AMP deaminase,40
Probable ATP-binding component of ABC transporter,40
DNA-(apurinic or apyrimidinic site) lyase,40
Aldehyde oxygenase (deformylating),39
Rhomboid domain-containing protein,39
40S ribosomal protein S25,39
Cellulose synthase,39
